user_id,product_id,rating
A000000702,B000503280,3.9
A000000702,B000388585,3.1
A000000702,B000526015,3.9
A000000702,B000202179,3.9
A000000702,B000114999,3.9
A000000702,B000220493,3.9
A000000702,B000501926,3.9
A000000702,B000470147,3.9
A000000702,B000446462,3.9
A000000702,B000046415,3.0
A000000702,B000369127,3.4
A000000702,B000354069,4.1
A000000702,B000245886,3.5
A000000702,B000464386,3.9
A000000702,B000347326,4.0
A000000702,B000023725,4.2
A000000702,B000117110,4.2
A000000697,B000301492,3.9
A000000697,B000355104,3.8
A000000697,B000341915,3.9
A000000697,B000102659,3.9
A000000697,B000172962,3.9
A000000697,B000324122,3.9
A000000697,B000093665,3.9
A000000697,B000312412,4.0
A000000697,B000311361,4.6
A000000697,B000171632,3.9
A000000697,B000172740,3.9
A000000697,B000278699,3.9
A000000697,B000477023,3.9
A000000697,B000537117,2.8
A000000697,B000519500,1.0
A000000697,B000012896,4.1
A000000697,B000313005,3.9
A000000130,B000069095,3.8
A000000130,B000340828,2.7
A000000130,B000102631,3.9
A000000130,B000307294,3.9
A000000130,B000395176,5.0
A000000130,B000085415,3.9
A000000130,B000463244,3.9
A000000130,B000249660,1.0
A000000130,B000452513,3.6
A000000130,B000357865,3.9
A000000130,B000525771,3.9
A000000130,B000379214,3.8
A000000130,B000132176,3.7
A000000130,B000139702,3.9
A000000130,B000135681,3.2
A000000130,B000141255,4.0
A000000130,B000229683,3.7
A000000130,B000456450,3.3
A000000130,B000054683,3.9
A000000130,B000284426,4.1
A000000130,B000207212,3.9
A000000790,B000476473,1.0
A000000790,B000102402,3.9
A000000790,B000211429,3.9
A000000790,B000035303,3.9
A000000790,B000525939,3.9
A000000790,B000267457,4.0
A000000790,B000329881,2.5
A000000790,B000498773,3.3
A000000790,B000405139,3.9
A000000790,B000470212,3.5
A000000790,B000466436,5.0
A000000790,B000413131,3.9
A000000790,B000010790,3.0
A000000790,B000328657,3.9
A000000790,B000227872,4.4
A000000790,B000380864,4.1
A000000790,B000158924,3.9
A000000790,B000182127,3.9
A000000790,B000022220,4.0
A000000790,B000013020,4.1
A000000790,B000363953,4.2
A000000790,B000098575,4.6
A000000790,B000511313,3.2
A000000790,B000035670,2.7
A000000790,B000342505,3.2
A000000790,B000260942,4.0
A000000595,B000316917,3.9
A000000595,B000138560,3.9
A000000595,B000267660,3.9
A000000595,B000268123,4.0
A000000595,B000405492,3.9
A000000595,B000508908,4.4
A000000595,B000285700,3.9
A000000595,B000506144,3.9
A000000595,B000110885,3.0
A000000595,B000077188,4.0
A000000595,B000524854,3.9
A000000595,B000461782,3.9
A000000595,B000217302,3.9
A000000595,B000484078,3.9
A000000595,B000165066,3.3
A000000595,B000124202,4.7
A000000595,B000393824,3.8
A000000595,B000091224,3.9
A000000315,B000264232,4.0
A000000315,B000288774,3.9
A000000315,B000147028,3.4
A000000315,B000255295,4.1
A000000315,B000222663,4.6
A000000315,B000101849,3.9
A000000315,B000331701,3.9
A000000315,B000046107,3.9
A000000315,B000306897,3.9
A000000315,B000511243,3.9
A000000315,B000436629,3.5
A000000315,B000187903,3.9
A000000315,B000100602,3.9
A000000315,B000134638,3.9
A000000315,B000209125,3.9
A000000315,B000250502,3.6
A000000315,B000338024,3.9
A000000315,B000012630,4.1
A000000315,B000250336,3.9
A000000315,B000546753,3.7
A000000315,B000546567,4.5
A000000315,B000011141,4.0
A000000315,B000127559,3.9
A000000315,B000144001,3.2
A000000858,B000149408,4.1
A000000858,B000301161,3.9
A000000858,B000284613,3.9
A000000858,B000101640,3.9
A000000858,B000012556,4.5
A000000858,B000298347,3.9
A000000858,B000373391,5.0
A000000858,B000168473,5.0
A000000858,B000136732,4.6
A000000858,B000202140,3.9
A000000858,B000457306,4.1
A000000858,B000546294,5.0
A000000858,B000428471,1.0
A000000858,B000188609,3.9
A000000858,B000110783,3.9
A000000858,B000289757,3.9
A000000858,B000288290,3.9
A000000858,B000470918,4.4
A000000858,B000435527,2.9
A000000858,B000539898,3.9
A000000756,B000257599,3.2
A000000756,B000414188,3.9
A000000756,B000294046,5.0
A000000756,B000140846,4.2
A000000756,B000323128,2.6
A000000756,B000248363,3.9
A000000756,B000448465,4.0
A000000756,B000330412,4.2
A000000756,B000501457,4.5
A000000756,B000107090,3.9
A000000756,B000108622,4.4
A000000756,B000504753,2.8
A000000756,B000306238,3.9
A000000149,B000517232,4.1
A000000149,B000146644,3.5
A000000149,B000378032,3.8
A000000149,B000248419,3.6
A000000149,B000265332,4.1
A000000149,B000049463,4.2
A000000149,B000372860,4.0
A000000149,B000219192,4.0
A000000149,B000095410,3.2
A000000149,B000236598,3.6
A000000149,B000021642,5.0
A000000149,B000346310,5.0
A000000149,B000075057,2.9
A000000149,B000492882,3.9
A000000149,B000540686,3.9
A000000149,B000478984,3.9
A000000149,B000431985,3.7
A000000149,B000235076,3.8
A000000149,B000374836,3.8
A000000149,B000343459,4.2
A000000149,B000258379,4.1
A000000149,B000412419,3.9
A000000149,B000430832,3.8
A000000149,B000068170,5.0
A000000550,B000379922,4.2
A000000550,B000407814,4.3
A000000550,B000064765,4.1
A000000550,B000331656,3.9
A000000550,B000246089,5.0
A000000550,B000169339,3.9
A000000550,B000168088,4.2
A000000550,B000245862,3.7
A000000550,B000453465,1.0
A000000550,B000210269,3.9
A000000550,B000413631,3.9
A000000550,B000327436,3.9
A000000550,B000147459,3.9
A000000550,B000181705,3.9
A000000550,B000059901,3.1
A000000550,B000370502,3.9
A000000550,B000007841,4.2
A000000550,B000192918,3.9
A000000550,B000149652,3.9
A000000550,B000157159,3.8
A000000550,B000014869,3.5
A000000550,B000547885,3.1
A000000550,B000018144,3.9
A000000550,B000162971,4.4
A000000550,B000091951,3.9
A000000550,B000452277,3.3
A000000550,B000227413,3.5
A000000550,B000154661,4.1
A000000550,B000543698,3.0
A000000550,B000143200,2.7
A000000611,B000474312,3.5
A000000611,B000057440,3.9
A000000611,B000316810,3.9
A000000611,B000242374,3.9
A000000611,B000453266,4.4
A000000611,B000326970,5.0
A000000611,B000498237,4.2
A000000611,B000044046,4.3
A000000611,B000401918,3.9
A000000611,B000058658,4.0
A000000611,B000246937,3.6
A000000611,B000524920,3.9
A000000611,B000141153,5.0
A000000611,B000516810,2.9
A000000611,B000211172,3.9
A000000611,B000415219,3.9
A000000611,B000295715,3.9
A000000611,B000047170,4.0
A000000611,B000502917,4.4
A000000091,B000462258,3.9
A000000091,B000158311,4.2
A000000091,B000494936,4.5
A000000091,B000160260,3.6
A000000091,B000323463,3.9
A000000091,B000210012,3.9
A000000091,B000501944,3.9
A000000091,B000333748,3.9
A000000091,B000216814,3.6
A000000091,B000456136,4.4
A000000091,B000149802,3.8
A000000091,B000052745,4.4
A000000091,B000506650,4.2
A000000091,B000450022,3.6
A000000091,B000109195,3.0
A000000091,B000135019,3.9
A000000091,B000070232,3.8
A000000091,B000479942,3.8
A000000091,B000449825,3.4
A000000091,B000199906,3.9
A000000788,B000197021,3.9
A000000788,B000018055,4.0
A000000788,B000221816,5.0
A000000788,B000309483,3.9
A000000788,B000329830,3.9
A000000788,B000431138,4.0
A000000788,B000341899,1.6
A000000788,B000115149,3.9
A000000788,B000121416,3.6
A000000788,B000357864,3.9
A000000788,B000303586,3.9
A000000788,B000324555,3.9
A000000788,B000010445,3.8
A000000788,B000316353,1.8
A000000788,B000455914,3.9
A000000788,B000328951,5.0
A000000788,B000463759,3.9
A000000788,B000204681,3.9
A000000788,B000222078,4.0
A000000788,B000411032,2.0
A000000788,B000459151,5.0
A000000788,B000218682,3.8
A000000383,B000291903,3.8
A000000383,B000048517,5.0
A000000383,B000229605,3.9
A000000383,B000369372,3.9
A000000383,B000237997,3.0
A000000383,B000402140,3.9
A000000383,B000224921,5.0
A000000383,B000333670,3.5
A000000383,B000300979,3.9
A000000383,B000519966,4.5
A000000383,B000254135,4.1
A000000383,B000082110,4.5
A000000383,B000058778,4.2
A000000383,B000324330,1.9
A000000383,B000535219,3.8
A000000383,B000474299,4.3
A000000383,B000519929,3.9
A000000383,B000331809,4.3
A000000383,B000294283,3.9
A000000383,B000249944,4.0
A000000525,B000188555,3.9
A000000525,B000525485,3.9
A000000525,B000451496,3.7
A000000525,B000145587,4.0
A000000525,B000501040,2.0
A000000525,B000465770,3.9
A000000525,B000549350,4.0
A000000525,B000366137,3.9
A000000525,B000079889,3.9
A000000525,B000147391,3.6
A000000525,B000051285,5.0
A000000525,B000351102,2.9
A000000525,B000280837,3.9
A000000525,B000243718,3.9
A000000525,B000524630,3.9
A000000525,B000251682,3.7
A000000525,B000052487,4.5
A000000525,B000026927,2.8
A000000525,B000469688,4.2
A000000525,B000528173,3.9
A000000525,B000289556,3.9
A000000525,B000023458,3.6
A000000525,B000082263,4.0
A000000525,B000359434,3.5
A000000525,B000243017,4.2
A000000525,B000034372,3.9
A000000178,B000119982,3.6
A000000178,B000451193,3.1
A000000178,B000301831,3.9
A000000178,B000175551,2.2
A000000178,B000289512,3.9
A000000178,B000215285,4.3
A000000178,B000413607,3.9
A000000178,B000459700,3.4
A000000178,B000455239,3.3
A000000178,B000179556,3.9
A000000178,B000129596,3.4
A000000178,B000279223,3.9
A000000178,B000125949,3.6
A000000178,B000483389,3.9
A000000178,B000513043,3.9
A000000178,B000410897,4.3
A000000178,B000359089,4.0
A000000178,B000414109,3.9
A000000178,B000512454,3.5
A000000178,B000126673,3.9
A000000178,B000487961,3.6
A000000178,B000142074,4.1
A000000178,B000230886,3.4
A000000178,B000525944,3.9
A000000178,B000050474,3.9
A000000178,B000066110,3.6
A000000178,B000400575,3.9
A000000178,B000471461,4.6
A000000178,B000010064,4.0
A000000178,B000025289,4.1
A000000178,B000044571,4.1
A000000243,B000542989,3.3
A000000243,B000546611,4.5
A000000243,B000141788,3.8
A000000243,B000461284,1.0
A000000243,B000129167,4.1
A000000243,B000274197,3.9
A000000243,B000379296,3.4
A000000243,B000393811,3.8
A000000243,B000111812,3.7
A000000243,B000008178,4.3
A000000243,B000303691,3.9
A000000243,B000479597,3.1
A000000243,B000098374,4.0
A000000243,B000296763,3.9
A000000243,B000447820,3.9
A000000243,B000321640,5.0
A000000243,B000203774,3.9
A000000243,B000264173,3.1
A000000243,B000262581,3.8
A000000243,B000355693,4.2
A000000243,B000512481,5.0
A000000243,B000547419,3.2
A000000243,B000406891,3.9
A000000016,B000270030,3.4
A000000016,B000105395,4.1
A000000016,B000164365,3.8
A000000016,B000034386,3.9
A000000016,B000300920,3.9
A000000016,B000351946,4.3
A000000016,B000270460,4.1
A000000016,B000074974,3.9
A000000016,B000179356,5.0
A000000016,B000077626,3.1
A000000016,B000179134,2.6
A000000016,B000001977,4.2
A000000016,B000487927,3.9
A000000016,B000220247,3.8
A000000016,B000170592,3.9
A000000016,B000188979,3.9
A000000606,B000086968,4.0
A000000606,B000189574,3.9
A000000606,B000236463,4.7
A000000606,B000316801,3.9
A000000606,B000229306,3.9
A000000606,B000339739,4.5
A000000606,B000534823,2.8
A000000606,B000493820,3.9
A000000606,B000158344,3.9
A000000606,B000093768,3.9
A000000606,B000047072,3.4
A000000606,B000229676,4.0
A000000606,B000321746,3.4
A000000606,B000241567,2.9
A000000606,B000037407,4.0
A000000606,B000234862,4.2
A000000606,B000349010,4.7
A000000606,B000199643,3.9
A000000606,B000059961,3.9
A000000606,B000539756,3.7
A000000606,B000114842,3.9
A000000606,B000001393,4.2
A000000640,B000162166,3.9
A000000640,B000208097,3.9
A000000640,B000212654,3.9
A000000640,B000435901,3.7
A000000640,B000435427,3.0
A000000640,B000366763,4.0
A000000640,B000082627,5.0
A000000640,B000060751,3.8
A000000640,B000414707,3.9
A000000640,B000281536,3.6
A000000640,B000014763,4.3
A000000640,B000204747,3.9
A000000640,B000358812,3.8
A000000640,B000449143,4.0
A000000640,B000250329,3.6
A000000640,B000526237,3.9
A000000640,B000263821,3.9
A000000640,B000071053,3.8
A000000640,B000048834,2.8
A000000640,B000183303,3.9
A000000640,B000076530,4.4
A000000640,B000188186,3.9
A000000640,B000275681,3.7
A000000829,B000238659,3.9
A000000829,B000080798,1.9
A000000829,B000362816,3.7
A000000829,B000283912,3.9
A000000829,B000315422,3.9
A000000829,B000224097,3.3
A000000829,B000324961,4.5
A000000829,B000109085,3.7
A000000829,B000351763,3.9
A000000829,B000065094,3.5
A000000829,B000344206,4.6
A000000829,B000083808,2.7
A000000829,B000469111,4.4
A000000829,B000167913,4.3
A000000829,B000116470,4.1
A000000829,B000427802,2.5
A000000829,B000171103,3.9
A000000829,B000155284,4.0
A000000829,B000356367,4.4
A000000829,B000284562,3.9
A000000829,B000244422,4.2
A000000829,B000050181,3.8
A000000829,B000263106,4.3
A000000829,B000160993,3.3
A000000829,B000516070,3.9
A000000829,B000288714,3.9
A000000222,B000045019,4.3
A000000222,B000121662,4.3
A000000222,B000059538,4.0
A000000222,B000128250,3.9
A000000222,B000129170,2.9
A000000222,B000289666,3.9
A000000222,B000100129,3.9
A000000222,B000379095,4.2
A000000222,B000551490,3.2
A000000222,B000283470,2.7
A000000222,B000337038,2.9
A000000222,B000163865,4.2
A000000222,B000228397,4.1
A000000222,B000184209,3.9
A000000222,B000094228,3.9
A000000222,B000507758,3.9
